Customer ID,Gender,Age,Order Count,Avg Order Value (Rp),Favorite Food,Favorite Drink,Visit Frequency (per month),Stay Duration (minutes),Payment Method,Customer Rating,Work Type,Referral Count,Time of Visit,Preferred Ordering Method,Holiday Visits,Repeat Order Due to Stay Duration
Customer001,Female,28.0,17.0,115237.0,Western Food,Juices,14.0,61,Cash,4.4,Employee,8,Evening,Takeaway,Weekday,False
Customer002,Female,53.0,17.0,51237.0,Rice Bowl,Manual Brew,30.0,21,Cash,4.1,Freelancer,10,Morning,Delivery,y,False
Customer003,Male,26.0,33.0,75387.0,Western Food,Barista Drinks,4.0,27,Credit Card,4.7,Retired,16,Night,Delivery,y,False
Customer004,Male,49.0,13.0,142370.0,Rice Bowl,Kopi Susu Lokal,22.0,54,Credit Card,1.0,Freelancer,14,Evening,Delivery,y,False
Customer005,Female,54.0,21.0,87957.0,Rice Bowl,Smoothies,8.0,20,Credit Card,2.9,Retired,7,Night,Takeaway,y,True
Customer006,Male,36.0,19.0,90185.0,Pizza,Smoothies,11.0,33,Cash,3.4,Employee,4,Night,Dine-in,y,True
Customer007,Male,30.0,29.0,93950.0,Spaghetti,Juices,18.0,97,Debit Card,1.8,Retired,5,Morning,Takeaway,y,True
Customer008,Female,58.0,27.0,23089.0,Spaghetti,Smoothies,28.0,76,Credit Card,1.5,Entrepreneur,9,Evening,Delivery,y,True
Customer009,Male,38.0,41.0,39016.0,Pizza,Mocktail,18.0,101,E-Wallet,4.1,Employee,5,Evening,Dine-in,y,True
Customer010,Male,51.0,14.0,37686.0,Burgers & Sandwiches,Mocktail,5.0,110,Credit Card,3.0,Employee,16,Night,Takeaway,y,True
Customer011,Male,30.0,27.0,33593.0,Spaghetti,Yakult,19.0,43,Cash,4.1,Entrepreneur,4,Afternoon,Delivery,y,True
Customer012,Female,20.0,23.0,67253.0,Western Food,Frappe,6.0,57,Credit Card,2.2,Freelancer,3,Evening,Dine-in,y,False
Customer013,Female,56.0,5.0,112959.0,Spaghetti,Mocktail,5.0,99,Credit Card,4.4,Entrepreneur,5,Morning,Dine-in,y,False
Customer014,Female,55.0,46.0,117634.0,Asian Delight,Juices,10.0,39,Credit Card,2.7,Retired,19,Evening,Takeaway,y,False
Customer015,Female,44.0,47.0,83289.0,Burgers & Sandwiches,Classic Coffee,24.0,38,Cash,2.1,Student,9,Afternoon,Dine-in,y,True
Customer016,Male,53.0,49.0,128649.0,Salad & Soup,Smoothies,29.0,13,Cash,3.3,Employee,3,Afternoon,Dine-in,y,False
Customer017,Male,35.0,12.0,96959.0,Rice Bowl,Juices,12.0,17,E-Wallet,3.0,Employee,11,Morning,Takeaway,y,True
Customer018,Male,25.0,30.0,60865.0,Asian Delight,Mocktail,21.0,89,Credit Card,3.7,Student,3,Evening,Dine-in,y,True
Customer019,Male,53.0,34.0,37553.0,Burgers & Sandwiches,Barista Drinks,23.0,110,Credit Card,1.4,Retired,19,Morning,Dine-in,y,True
Customer020,Female,36.0,37.0,140255.0,Asian Delight,Manual Brew,12.0,25,E-Wallet,4.6,Entrepreneur,6,Night,Takeaway,y,False
Customer021,Female,28.0,14.0,85913.0,Salad & Soup,Manual Brew,9.0,45,Credit Card,2.1,Student,9,Night,Delivery,y,False
Customer022,Female,31.0,18.0,99759.0,Salad & Soup,Mocktail,21.0,18,Cash,4.5,Employee,12,Morning,Dine-in,y,False
Customer023,Male,56.0,12.0,117287.0,Asian Delight,Mocktail,2.0,80,Cash,4.7,Employee,19,Afternoon,Takeaway,y,True
Customer024,Female,55.0,2.0,79528.0,Salad & Soup,Manual Brew,1.0,26,E-Wallet,1.7,Employee,4,Night,Dine-in,y,False
Customer025,Male,53.0,23.0,84831.0,Spaghetti,Barista Drinks,11.0,83,E-Wallet,1.2,Retired,20,Afternoon,Takeaway,y,False
Customer026,Female,40.0,1.0,139153.0,Salad & Soup,Mocktail,16.0,12,Credit Card,2.9,Employee,6,Morning,Delivery,y,False
Customer027,Male,58.0,50.0,75142.0,Western Food,Manual Brew,10.0,11,Debit Card,4.9,Employee,10,Afternoon,Dine-in,y,True
Customer028,Male,40.0,21.0,37063.0,Burgers & Sandwiches,Classic Coffee,26.0,26,E-Wallet,1.7,Freelancer,18,Afternoon,Takeaway,y,False
Customer029,Female,18.0,37.0,110438.0,Burgers & Sandwiches,Kopi Susu Lokal,23.0,79,Debit Card,4.3,Retired,5,Morning,Dine-in,y,True
Customer030,Female,42.0,27.0,99634.0,Rice Bowl,Yakult,28.0,24,Debit Card,5.0,Entrepreneur,2,Evening,Delivery,y,True
Customer031,Male,47.0,6.0,94657.0,Snacks,Barista Drinks,11.0,83,Credit Card,2.6,Retired,4,Night,Dine-in,y,False
Customer032,Male,41.0,39.0,144015.0,Snacks,Others,2.0,28,Cash,4.6,Entrepreneur,11,Night,Dine-in,y,False
Customer033,Female,54.0,2.0,146908.0,Spaghetti,Kopi Susu Lokal,11.0,78,Debit Card,1.7,Retired,4,Evening,Takeaway,y,False
Customer034,Male,24.0,33.0,59149.0,Rice Bowl,Mocktail,27.0,72,Cash,3.5,Employee,11,Morning,Delivery,y,True
Customer035,Female,37.0,32.0,70609.0,Western Food,Classic Coffee,6.0,116,Cash,3.1,Freelancer,17,Night,Dine-in,y,True
Customer036,Male,28.0,10.0,84269.0,Burgers & Sandwiches,Kopi Susu Lokal,14.0,22,E-Wallet,1.1,Entrepreneur,7,Night,Delivery,y,True
Customer037,Female,48.0,31.0,112209.0,Asian Delight,Kopi Susu Lokal,12.0,31,Debit Card,2.1,Retired,8,Night,Dine-in,y,True
Customer038,Male,30.0,43.0,75106.0,Pizza,Kopi Susu Lokal,11.0,101,Cash,1.1,Freelancer,7,Night,Dine-in,y,False
Customer039,Male,60.0,13.0,126942.0,Snacks,Barista Drinks,20.0,115,E-Wallet,3.6,Employee,19,Night,Delivery,y,True
Customer040,Female,49.0,40.0,124749.0,Snacks,Yakult,16.0,51,E-Wallet,2.6,Freelancer,3,Afternoon,Dine-in,y,False
Customer041,Male,28.0,31.0,103438.0,Snacks,Others,11.0,72,Credit Card,1.4,Employee,11,Morning,Delivery,y,False
Customer042,Male,47.0,23.0,132623.0,Asian Delight,Frappe,23.0,49,E-Wallet,2.9,Freelancer,7,Night,Delivery,y,False
Customer043,Female,55.0,3.0,44156.0,Western Food,Juices,9.0,113,Credit Card,1.8,Employee,4,Night,Takeaway,y,True
Customer044,Male,58.0,7.0,34196.0,Western Food,Frappe,26.0,72,Debit Card,4.9,Employee,15,Morning,Takeaway,y,False
Customer045,Male,57.0,30.0,135376.0,Spaghetti,Mocktail,19.0,16,Credit Card,1.4,Entrepreneur,4,Evening,Delivery,y,False
Customer046,Male,36.0,26.0,143385.0,Pizza,Barista Drinks,18.0,12,Debit Card,4.6,Student,13,Afternoon,Takeaway,y,True
Customer047,Male,42.0,6.0,52978.0,Pizza,Frappe,19.0,116,Cash,5.0,Employee,12,Morning,Dine-in,y,True
Customer048,Female,38.0,24.0,38238.0,Western Food,Mocktail,7.0,45,E-Wallet,2.0,Employee,20,Evening,Dine-in,y,False
Customer049,Male,20.0,29.0,70463.0,Burgers & Sandwiches,Manual Brew,3.0,32,E-Wallet,1.9,Retired,1,Night,Delivery,y,False
Customer050,Female,47.0,7.0,48906.0,Snacks,Frappe,24.0,92,Debit Card,1.8,Freelancer,12,Afternoon,Takeaway,y,True
Customer051,Female,56.0,28.0,136539.0,Salad & Soup,Frappe,22.0,98,Cash,3.8,Retired,6,Night,Dine-in,y,False
Customer052,Female,24.0,47.0,140402.0,Snacks,Manual Brew,12.0,19,Cash,4.8,Freelancer,3,Afternoon,Takeaway,y,True
Customer053,Male,44.0,48.0,128551.0,Spaghetti,Others,9.0,47,Credit Card,2.8,Employee,6,Afternoon,Delivery,y,True
Customer054,Female,59.0,38.0,92461.0,Rice Bowl,Classic Coffee,10.0,33,Cash,5.0,Entrepreneur,7,Evening,Delivery,y,False
Customer055,Female,43.0,6.0,145278.0,Western Food,Juices,15.0,109,Credit Card,2.8,Freelancer,10,Morning,Dine-in,y,False
Customer056,Female,53.0,48.0,145186.0,Salad & Soup,Mocktail,19.0,62,Debit Card,3.4,Employee,4,Morning,Dine-in,y,False
Customer057,Female,25.0,26.0,43556.0,Pizza,Others,28.0,48,E-Wallet,3.2,Student,18,Afternoon,Takeaway,y,True
Customer058,Male,36.0,19.0,113990.0,Pizza,Yakult,21.0,114,Cash,3.5,Employee,9,Morning,Dine-in,y,False
Customer059,Male,43.0,32.0,38109.0,Salad & Soup,Smoothies,28.0,93,E-Wallet,1.2,Entrepreneur,2,Afternoon,Dine-in,y,False
Customer060,Female,48.0,3.0,40694.0,Rice Bowl,Yakult,1.0,25,Credit Card,4.8,Student,0,Evening,Takeaway,y,False
Customer061,Female,32.0,43.0,21146.0,Spaghetti,Smoothies,9.0,74,Debit Card,2.7,Student,13,Evening,Delivery,y,True
Customer062,Male,23.0,26.0,116839.0,Snacks,Yakult,14.0,41,Credit Card,4.6,Freelancer,9,Afternoon,Dine-in,y,False
Customer063,Female,31.0,22.0,90315.0,Spaghetti,Juices,17.0,11,Debit Card,1.7,Entrepreneur,17,Evening,Delivery,y,True
Customer064,Female,47.0,9.0,118100.0,Snacks,Others,30.0,25,Debit Card,2.6,Entrepreneur,20,Afternoon,Dine-in,y,True
Customer065,Male,35.0,44.0,94286.0,Pizza,Juices,15.0,68,E-Wallet,3.2,Entrepreneur,1,Evening,Delivery,y,False
Customer066,Female,25.0,19.0,39231.0,Snacks,Yakult,7.0,69,Cash,4.6,Retired,12,Evening,Dine-in,y,True
Customer067,Male,48.0,31.0,119669.0,Snacks,Frappe,6.0,52,Credit Card,1.7,Employee,19,Night,Dine-in,y,True
Customer068,Male,40.0,33.0,48167.0,Spaghetti,Frappe,25.0,53,Credit Card,3.4,Retired,4,Afternoon,Dine-in,y,True
Customer069,Male,35.0,5.0,113401.0,Pizza,Classic Coffee,23.0,115,Credit Card,1.6,Freelancer,13,Night,Dine-in,y,False
Customer070,Female,37.0,8.0,119713.0,Rice Bowl,Kopi Susu Lokal,12.0,105,Cash,4.4,Student,13,Night,Delivery,y,True
Customer071,Female,19.0,36.0,133220.0,Snacks,Frappe,20.0,62,Cash,4.7,Retired,14,Night,Takeaway,y,False
Customer072,Male,22.0,40.0,38010.0,Spaghetti,Kopi Susu Lokal,28.0,45,Credit Card,1.8,Student,2,Morning,Dine-in,y,False
Customer073,Female,46.0,18.0,92898.0,Spaghetti,Barista Drinks,12.0,51,Cash,4.9,Retired,4,Afternoon,Delivery,y,True
Customer074,Female,42.0,12.0,84005.0,Salad & Soup,Others,5.0,108,E-Wallet,2.8,Student,4,Evening,Delivery,y,True
Customer075,Male,59.0,49.0,34803.0,Rice Bowl,Yakult,15.0,90,Debit Card,3.1,Retired,10,Morning,Takeaway,y,True
Customer076,Male,29.0,23.0,22170.0,Salad & Soup,Classic Coffee,25.0,32,Debit Card,4.7,Freelancer,15,Evening,Delivery,y,True
Customer077,Female,36.0,12.0,73781.0,Western Food,Juices,6.0,66,Credit Card,3.3,Retired,20,Afternoon,Dine-in,y,True
Customer078,Male,39.0,42.0,62313.0,Salad & Soup,Yakult,14.0,70,E-Wallet,4.1,Employee,5,Afternoon,Dine-in,y,True
Customer079,Female,37.0,39.0,72351.0,Pizza,Kopi Susu Lokal,29.0,62,Cash,3.8,Freelancer,20,Morning,Dine-in,y,True
Customer080,Male,53.0,6.0,115826.0,Asian Delight,Juices,13.0,46,Debit Card,3.3,Freelancer,14,Night,Delivery,y,True
Customer081,Male,26.0,22.0,109691.0,Pizza,Classic Coffee,28.0,13,E-Wallet,3.7,Employee,8,Night,Delivery,y,True
Customer082,Male,56.0,14.0,133663.0,Snacks,Frappe,14.0,49,Cash,4.1,Employee,4,Evening,Takeaway,y,True
Customer083,Female,36.0,48.0,134211.0,Spaghetti,Yakult,24.0,12,Credit Card,4.0,Freelancer,7,Night,Dine-in,y,False
Customer084,Female,19.0,4.0,131277.0,Snacks,Yakult,10.0,89,E-Wallet,3.1,Entrepreneur,6,Evening,Delivery,y,True
Customer085,Female,38.0,30.0,43287.0,Salad & Soup,Smoothies,30.0,78,Cash,4.7,Entrepreneur,7,Night,Takeaway,y,True
Customer086,Female,47.0,8.0,118504.0,Pizza,Mocktail,14.0,65,Cash,2.7,Freelancer,17,Night,Dine-in,y,False
Customer087,Female,23.0,35.0,76924.0,Western Food,Manual Brew,17.0,77,Credit Card,4.1,Retired,7,Afternoon,Delivery,y,True
Customer088,Female,60.0,44.0,76459.0,Burgers & Sandwiches,Frappe,1.0,87,E-Wallet,2.1,Retired,5,Night,Takeaway,y,True
Customer089,Male,31.0,9.0,87313.0,Burgers & Sandwiches,Yakult,14.0,48,Credit Card,2.7,Entrepreneur,19,Morning,Dine-in,y,True
Customer090,Male,27.0,3.0,27178.0,Pizza,Kopi Susu Lokal,1.0,113,Debit Card,4.7,Retired,10,Morning,Takeaway,y,True
Customer091,Male,55.0,15.0,98341.0,Spaghetti,Classic Coffee,26.0,40,Cash,1.2,Student,6,Afternoon,Takeaway,y,True
Customer092,Male,56.0,46.0,68964.0,Burgers & Sandwiches,Kopi Susu Lokal,19.0,116,E-Wallet,4.5,Entrepreneur,8,Evening,Takeaway,y,True
Customer093,Female,50.0,37.0,146828.0,Asian Delight,Classic Coffee,17.0,98,E-Wallet,2.5,Freelancer,20,Afternoon,Takeaway,y,True
Customer094,Female,27.0,24.0,34070.0,Rice Bowl,Mocktail,27.0,37,Credit Card,1.2,Freelancer,18,Evening,Dine-in,y,True
Customer095,Male,27.0,25.0,51400.0,Spaghetti,Barista Drinks,20.0,41,Cash,4.0,Student,17,Morning,Dine-in,y,False
